番号,paraB,paraL,paraQ,typeMP,typePR
,3,3,3,,
0,-1,-1,-1,0,0
1,-1,-1,-1,0,1
2,-1,-1,-1,1,0
3,-1,-1,-1,0,1
4,-1,-1,-1,0,0
5,-1,-1,-1,0,1
6,-1,-1,-1,1,0
7,-1,-1,-1,0,1
8,-1,-1,-1,0,0
9,-1,-1,-1,0,1
10,-1,-1,-1,1,0
11,-1,-1,-1,0,1
12,-1,-1,-1,0,0
13,-1,-1,-1,0,1
14,-1,-1,-1,1,0
15,-1,-1,-1,0,1
16,-1,-1,-1,0,0
17,-1,-1,-1,0,1
18,-1,-1,-1,1,0
19,-1,-1,-1,0,1
20,-1,-1,-1,0,0
21,-1,-1,-1,0,1
22,-1,-1,-1,1,0
23,-1,-1,-1,0,1
24,-1,-1,-1,0,0
25,-1,-1,-1,0,1
26,-1,-1,-1,1,0
27,-1,-1,-1,0,1
28,-1,-1,-1,0,0
29,-1,-1,-1,0,1
30,-1,-1,-1,1,0
31,-1,-1,-1,0,1
32,-1,-1,-1,0,0
33,-1,-1,-1,0,1
34,-1,-1,-1,1,0
35,-1,-1,-1,0,1
36,-1,-1,-1,0,0
37,-1,-1,-1,0,1
38,-1,-1,-1,1,0
39,-1,-1,-1,0,1
40,-1,-1,-1,0,0
41,-1,-1,-1,0,1
42,-1,-1,-1,1,0
43,-1,-1,-1,0,1
44,-1,-1,-1,0,0
45,-1,-1,-1,0,1
46,-1,-1,-1,1,0
47,-1,-1,-1,0,1
48,-1,-1,-1,0,0
49,-1,-1,-1,0,1
50,-1,-1,-1,1,0
51,-1,-1,-1,0,1
52,-1,-1,-1,0,0
53,-1,-1,-1,0,1
54,-1,-1,-1,1,0
55,-1,-1,-1,0,1
56,-1,-1,-1,0,0
57,-1,-1,-1,0,1
58,-1,-1,-1,1,0
59,-1,-1,-1,0,1
60,-1,-1,-1,0,0
61,-1,-1,-1,0,1
62,-1,-1,-1,1,0
63,-1,-1,-1,0,1
64,-1,-1,-1,0,0
65,-1,-1,-1,0,1
66,-1,-1,-1,1,0
67,-1,-1,-1,0,1
68,-1,-1,-1,0,0
69,-1,-1,-1,0,1
70,-1,-1,-1,1,0
71,-1,-1,-1,0,1
72,-1,-1,-1,0,0
73,-1,-1,-1,0,1
74,-1,-1,-1,1,0
75,-1,-1,-1,0,1
76,-1,-1,-1,0,0
77,-1,-1,-1,0,1
78,-1,-1,-1,1,0
79,-1,-1,-1,0,1
80,-1,-1,-1,0,0
81,-1,-1,-1,0,1
82,-1,-1,-1,1,0
83,-1,-1,-1,0,1
84,-1,-1,-1,0,0
85,-1,-1,-1,0,1
86,-1,-1,-1,1,0
87,-1,-1,-1,0,1
88,-1,-1,-1,0,0
89,-1,-1,-1,0,1
90,-1,-1,-1,1,0
91,-1,-1,-1,0,1
92,-1,-1,-1,0,0
93,-1,-1,-1,0,1
94,-1,-1,-1,1,0
95,-1,-1,-1,0,1
96,-1,-1,-1,0,0
97,-1,-1,-1,0,1
98,-1,-1,-1,1,0
99,-1,-1,-1,0,1
100,-1,-1,-1,0,0
101,-1,-1,-1,0,1
102,-1,-1,-1,1,0
103,-1,-1,-1,0,1
104,-1,-1,-1,0,0
105,-1,-1,-1,0,1
106,-1,-1,-1,1,0
107,-1,-1,-1,0,1
108,-1,-1,-1,0,0
109,-1,-1,-1,0,1
110,-1,-1,-1,1,0
111,-1,-1,-1,0,1
112,-1,-1,-1,0,0
113,-1,-1,-1,0,1
114,-1,-1,-1,1,0
115,-1,-1,-1,0,1
116,-1,-1,-1,0,0
117,-1,-1,-1,0,1
118,-1,-1,-1,1,0
119,-1,-1,-1,0,1
120,-1,-1,-1,0,0
121,-1,-1,-1,0,1
122,-1,-1,-1,1,0
123,-1,-1,-1,0,1
124,-1,-1,-1,0,0
125,-1,-1,-1,0,1
126,-1,-1,-1,1,0
127,-1,-1,-1,0,1
128,-1,-1,-1,0,0
129,-1,-1,-1,0,1
130,-1,-1,-1,1,0
131,-1,-1,-1,0,1
132,-1,-1,-1,0,0
133,-1,-1,-1,0,1
134,-1,-1,-1,1,0
135,-1,-1,-1,0,1
136,-1,-1,-1,0,0
137,-1,-1,-1,0,1
138,-1,-1,-1,1,0
139,-1,-1,-1,0,1
140,-1,-1,-1,0,0
141,-1,-1,-1,0,1
142,-1,-1,-1,1,0
143,-1,-1,-1,0,1
144,-1,-1,-1,0,0
145,-1,-1,-1,0,1
146,-1,-1,-1,1,0
147,-1,-1,-1,0,1
148,-1,-1,-1,0,0
149,-1,-1,-1,0,1
150,-1,-1,-1,1,0
151,-1,-1,-1,0,1
152,-1,-1,-1,0,0
153,-1,-1,-1,0,1
154,-1,-1,-1,1,0
155,-1,-1,-1,0,1
156,-1,-1,-1,0,0
157,-1,-1,-1,0,1
158,-1,-1,-1,1,0
159,-1,-1,-1,0,1
160,-1,-1,-1,0,0
161,-1,-1,-1,0,1
162,-1,-1,-1,1,0
163,-1,-1,-1,0,1
164,-1,-1,-1,0,0
165,-1,-1,-1,0,1
166,-1,-1,-1,1,0
167,-1,-1,-1,0,1
168,-1,-1,-1,0,0
169,-1,-1,-1,0,1
170,-1,-1,-1,1,0
171,-1,-1,-1,0,1
172,-1,-1,-1,0,0
173,-1,-1,-1,0,1
174,-1,-1,-1,1,0
175,-1,-1,-1,0,1
176,-1,-1,-1,0,0
177,-1,-1,-1,0,1
178,-1,-1,-1,1,0
179,-1,-1,-1,0,1
180,-1,-1,-1,0,0
181,-1,-1,-1,0,1
182,-1,-1,-1,1,0
183,-1,-1,-1,0,1
184,-1,-1,-1,0,0
185,-1,-1,-1,0,1
186,-1,-1,-1,1,0
187,-1,-1,-1,0,1
188,-1,-1,-1,0,0
189,-1,-1,-1,0,1
190,-1,-1,-1,1,0
191,-1,-1,-1,0,1
192,-1,-1,-1,0,0
193,-1,-1,-1,0,1
194,-1,-1,-1,1,0
195,-1,-1,-1,0,1
196,-1,-1,-1,0,0
197,-1,-1,-1,0,1
198,-1,-1,-1,1,0
199,-1,-1,-1,0,1
200,-1,-1,-1,0,0
201,-1,-1,-1,0,1
202,-1,-1,-1,1,0
203,-1,-1,-1,0,1
204,-1,-1,-1,0,0
205,-1,-1,-1,0,1
206,-1,-1,-1,1,0
207,-1,-1,-1,0,1
208,-1,-1,-1,0,0
209,-1,-1,-1,0,1
210,-1,-1,-1,1,0
211,-1,-1,-1,0,1
212,-1,-1,-1,0,0
213,-1,-1,-1,0,1
214,-1,-1,-1,1,0
215,-1,-1,-1,0,1
216,-1,-1,-1,0,0
217,-1,-1,-1,0,1
218,-1,-1,-1,1,0
219,-1,-1,-1,0,1
220,-1,-1,-1,0,0
221,-1,-1,-1,0,1
222,-1,-1,-1,1,0
223,-1,-1,-1,0,1
224,-1,-1,-1,0,0
225,-1,-1,-1,0,1
226,-1,-1,-1,1,0
227,-1,-1,-1,0,1
228,-1,-1,-1,0,0
229,-1,-1,-1,0,1
230,-1,-1,-1,1,0
231,-1,-1,-1,0,1
232,-1,-1,-1,0,0
233,-1,-1,-1,0,1
234,-1,-1,-1,1,0
235,-1,-1,-1,0,1
236,-1,-1,-1,0,0
237,-1,-1,-1,0,1
238,-1,-1,-1,1,0
239,-1,-1,-1,0,1
240,-1,-1,-1,0,0
241,-1,-1,-1,0,1
242,-1,-1,-1,1,0
243,-1,-1,-1,0,1
244,-1,-1,-1,0,0
245,-1,-1,-1,0,1
246,-1,-1,-1,1,0
247,-1,-1,-1,0,1
248,-1,-1,-1,0,0
249,-1,-1,-1,0,1
250,-1,-1,-1,1,0
251,-1,-1,-1,0,1
252,-1,-1,-1,0,0
253,-1,-1,-1,0,1
254,-1,-1,-1,1,0
255,-1,-1,-1,0,1
256,-1,-1,-1,0,0
257,-1,-1,-1,0,1
258,-1,-1,-1,1,0
259,-1,-1,-1,0,1
260,-1,-1,-1,0,0
261,-1,-1,-1,0,1
262,-1,-1,-1,1,0
263,-1,-1,-1,0,1
264,-1,-1,-1,0,0
265,-1,-1,-1,0,1
266,-1,-1,-1,1,0
267,-1,-1,-1,0,1
268,-1,-1,-1,0,0
269,-1,-1,-1,0,1
270,-1,-1,-1,1,0
271,-1,-1,-1,0,1
272,-1,-1,-1,0,0
273,-1,-1,-1,0,1
274,-1,-1,-1,1,0
275,-1,-1,-1,0,1
276,-1,-1,-1,0,0
277,-1,-1,-1,0,1
278,-1,-1,-1,1,0
279,-1,-1,-1,0,1
280,-1,-1,-1,0,0
281,-1,-1,-1,0,1
282,-1,-1,-1,1,0
283,-1,-1,-1,0,1
284,-1,-1,-1,0,0
285,-1,-1,-1,0,1
286,-1,-1,-1,1,0
287,-1,-1,-1,0,1
288,-1,-1,-1,0,0
289,-1,-1,-1,0,1
290,-1,-1,-1,1,0
291,-1,-1,-1,0,1
292,-1,-1,-1,0,0
293,-1,-1,-1,0,1
294,-1,-1,-1,1,0
295,-1,-1,-1,0,1
296,-1,-1,-1,0,0
297,-1,-1,-1,0,1
298,-1,-1,-1,1,0
299,-1,-1,-1,0,1
300,-1,-1,-1,0,0
301,-1,-1,-1,0,1
302,-1,-1,-1,1,0
303,-1,-1,-1,0,1
304,-1,-1,-1,0,0
305,-1,-1,-1,0,1
306,-1,-1,-1,1,0
307,-1,-1,-1,0,1
308,-1,-1,-1,0,0
309,-1,-1,-1,0,1
310,-1,-1,-1,1,0
311,-1,-1,-1,0,1
312,-1,-1,-1,0,0
313,-1,-1,-1,0,1
314,-1,-1,-1,1,0
315,-1,-1,-1,0,1
316,-1,-1,-1,0,0
317,-1,-1,-1,0,1
318,-1,-1,-1,1,0
319,-1,-1,-1,0,1
320,-1,-1,-1,0,0
321,-1,-1,-1,0,1
322,-1,-1,-1,1,0
323,-1,-1,-1,0,1
324,-1,-1,-1,0,0
325,-1,-1,-1,0,1
326,-1,-1,-1,1,0
327,-1,-1,-1,0,1
328,-1,-1,-1,0,0
329,-1,-1,-1,0,1
330,-1,-1,-1,1,0
331,-1,-1,-1,0,1
332,-1,-1,-1,0,0
333,-1,-1,-1,0,1
334,-1,-1,-1,1,0
335,-1,-1,-1,0,1
336,-1,-1,-1,0,0
337,-1,-1,-1,0,1
338,-1,-1,-1,1,0
339,-1,-1,-1,0,1
340,-1,-1,-1,0,0
341,-1,-1,-1,0,1
342,-1,-1,-1,1,0
343,-1,-1,-1,0,1
344,-1,-1,-1,0,0
345,-1,-1,-1,0,1
346,-1,-1,-1,1,0
347,-1,-1,-1,0,1
348,-1,-1,-1,0,0
349,-1,-1,-1,0,1
350,-1,-1,-1,1,0
351,-1,-1,-1,0,1
352,-1,-1,-1,0,0
353,-1,-1,-1,0,1
354,-1,-1,-1,1,0
355,-1,-1,-1,0,1
356,-1,-1,-1,0,0
357,-1,-1,-1,0,1
358,-1,-1,-1,1,0
359,-1,-1,-1,0,1
360,-1,-1,-1,0,0
361,-1,-1,-1,0,1
362,-1,-1,-1,1,0
363,-1,-1,-1,0,1
364,-1,-1,-1,0,0
365,-1,-1,-1,0,1
366,-1,-1,-1,1,0
367,-1,-1,-1,0,1
368,-1,-1,-1,0,0
369,-1,-1,-1,0,1
370,-1,-1,-1,1,0
371,-1,-1,-1,0,1
372,-1,-1,-1,0,0
373,-1,-1,-1,0,1
374,-1,-1,-1,1,0
375,-1,-1,-1,0,1
376,-1,-1,-1,0,0
377,-1,-1,-1,0,1
378,-1,-1,-1,1,0
379,-1,-1,-1,0,1
380,-1,-1,-1,0,0
381,-1,-1,-1,0,1
382,-1,-1,-1,1,0
383,-1,-1,-1,0,1
384,-1,-1,-1,0,0
385,-1,-1,-1,0,1
386,-1,-1,-1,1,0
387,-1,-1,-1,0,1
388,-1,-1,-1,0,0
389,-1,-1,-1,0,1
390,-1,-1,-1,1,0
391,-1,-1,-1,0,1
392,-1,-1,-1,0,0
393,-1,-1,-1,0,1
394,-1,-1,-1,1,0
395,-1,-1,-1,0,1
396,-1,-1,-1,0,0
397,-1,-1,-1,0,1
398,-1,-1,-1,1,0
399,-1,-1,-1,0,1
